Time(s),Temp(C)
0.0,206.50
1.4,206.50
2.9,206.25
4.3,206.00
5.8,205.50
7.2,205.50
8.6,204.50
10.1,204.75
11.5,204.50
12.9,204.25
14.4,203.50
15.8,203.50
17.3,200.50
18.7,200.00
20.1,202.25
21.6,202.75
23.0,201.50
24.4,201.75
25.9,201.00
27.3,201.00
28.7,200.75
30.2,200.25
31.6,200.00
33.1,200.00
34.5,197.50
35.9,199.25
37.4,199.00
38.8,198.75
40.2,198.25
41.7,198.00
43.1,198.25
44.6,197.25
46.0,197.25
47.4,197.00
48.9,197.00
50.3,196.25
51.7,196.50
53.2,196.50
54.6,196.00
56.1,196.00
57.5,195.25
58.9,195.00
60.4,195.25
61.8,195.00
63.2,195.00
64.7,194.50
66.1,194.25
67.5,194.25
69.0,194.25
70.4,193.75
71.9,193.75
73.3,193.75
74.7,194.00
76.2,193.25
77.6,193.00
79.0,193.25
80.5,192.50
81.9,192.75
83.4,191.75
84.8,192.50
86.2,192.50
87.7,192.50
89.1,192.25
90.5,192.00
92.0,192.25
93.4,191.75
94.9,192.00
96.3,191.75
97.7,192.00
99.2,192.25
100.6,191.75
102.0,191.75
103.5,191.50
104.9,189.50
106.4,191.50
107.8,191.75
109.2,191.25
110.7,189.25
112.1,191.50
113.5,191.50
115.0,191.50
116.4,191.75
117.8,191.75
119.3,191.25
120.7,191.75
122.2,191.75
123.6,191.00
125.0,191.75
126.5,191.25
127.9,191.75
129.3,191.50
130.8,192.00
132.2,192.00
133.7,192.00
135.1,192.00
136.5,190.00
138.0,192.25
139.5,192.50
140.9,192.25
142.4,192.75
143.8,192.25
145.2,192.75
146.7,192.50
148.1,192.75
149.6,193.00
151.0,193.25
152.4,192.75
153.9,193.50
155.3,193.25
156.7,193.00
158.2,193.25
159.6,193.50
161.0,193.50
162.5,191.50
163.9,194.00
165.4,194.00
166.8,194.00
168.2,194.00
169.7,194.50
171.1,193.25
172.5,194.00
174.0,195.00
175.4,195.00
176.9,194.75
178.3,194.75
179.8,195.50
181.2,195.00
182.7,195.25
184.1,194.75
185.6,195.75
187.0,196.25
188.5,196.00
189.9,196.50
191.4,196.50
192.8,196.25
194.3,196.25
195.7,197.00
197.1,196.75
198.6,197.00
200.0,197.50
201.5,197.50
202.9,197.75
204.4,198.00
205.8,198.00
207.3,198.25
208.7,198.50
210.2,198.25
211.6,198.50
213.1,198.50
214.5,196.75
216.0,199.00
217.4,199.00
218.9,199.00
220.3,198.75
221.7,199.00
223.2,200.00
224.6,196.75
226.1,199.75
227.5,200.00
229.0,200.75
230.4,200.25
231.9,200.25
233.3,200.50
234.8,201.00
236.2,200.50
237.7,201.00
239.1,201.50
240.6,201.50
242.0,201.25
243.5,201.75
244.9,202.25
246.3,201.75
247.8,202.00
249.2,202.00
250.7,202.25
252.1,202.50
253.6,202.75
255.0,203.00
256.5,202.75
257.9,203.50
259.4,203.25
260.8,203.00
262.3,203.50
263.7,203.25
265.2,203.25
266.6,204.00
268.1,203.75
269.5,203.75
270.9,204.25
272.4,204.75
273.8,203.75
275.3,204.00
276.7,204.50
278.2,204.00
279.6,204.50
281.1,205.00
282.5,205.00
284.0,204.75
285.4,201.25
286.9,202.50
288.3,205.75
289.8,205.75
291.2,205.50
292.7,206.00
294.1,206.00
295.6,206.25
297.0,206.25
298.4,206.00
299.9,206.50
