Time(s),Temp(C)
0.0,172.50
1.4,171.00
2.9,170.50
4.3,171.00
5.8,171.00
7.2,170.50
8.6,170.25
10.1,170.75
11.5,170.00
12.9,169.25
14.4,169.00
15.8,169.25
17.3,169.00
18.7,168.25
20.1,168.50
21.6,168.00
23.0,167.75
24.4,168.00
25.9,167.00
27.3,167.25
28.7,165.50
30.2,166.00
31.6,166.25
33.1,166.25
34.5,166.25
35.9,165.50
37.4,164.75
38.8,165.50
40.2,165.00
41.7,164.50
43.1,164.75
44.6,164.50
46.0,164.00
47.4,164.00
48.9,164.00
50.3,161.50
51.7,163.50
53.2,163.75
54.6,163.25
56.1,163.50
57.5,162.25
58.9,163.00
60.4,162.50
61.8,162.25
63.2,162.50
64.7,161.75
66.1,162.00
67.5,161.75
69.0,162.00
70.4,161.75
71.9,162.25
73.3,162.00
74.7,162.00
76.2,160.25
77.6,161.75
79.0,160.25
80.5,162.25
81.9,162.00
83.4,161.75
84.8,162.00
86.2,161.75
87.7,161.00
89.1,162.00
90.5,161.50
92.0,162.00
93.4,161.50
94.9,162.00
96.3,161.75
97.7,162.00
99.2,161.50
100.6,161.50
102.0,159.25
103.5,162.00
104.9,162.25
106.4,162.00
107.8,162.00
109.2,162.25
110.7,162.50
112.1,162.25
113.5,162.50
115.0,162.50
116.4,162.50
117.8,162.75
119.3,163.00
120.7,163.00
122.2,163.00
123.6,162.75
125.0,162.75
126.5,163.00
127.9,160.75
129.3,163.25
130.8,164.00
132.2,163.75
133.7,162.50
135.1,163.75
136.5,164.00
138.0,163.75
139.4,163.75
140.8,164.50
142.3,164.25
143.7,165.25
145.2,165.00
146.6,165.25
148.0,165.25
149.5,165.75
150.9,165.75
152.3,164.75
153.8,165.75
155.2,166.25
156.7,166.25
158.1,166.50
159.5,165.75
161.0,166.75
162.4,167.00
163.8,167.00
165.3,167.75
166.7,167.75
168.1,168.25
169.6,168.00
171.0,168.75
172.5,168.00
173.9,168.50
175.4,169.00
176.8,169.50
178.2,169.25
179.7,168.75
181.1,170.00
182.6,164.75
184.0,170.75
185.5,170.75
186.9,170.75
188.4,170.75
189.8,171.50
191.3,171.25
192.7,171.25
194.2,171.25
195.6,172.00
197.1,172.25
198.5,173.00
200.0,173.00
201.4,172.50
202.8,173.00
204.3,173.50
205.7,170.25
207.2,174.00
208.6,174.25
210.1,174.50
211.5,174.50
213.0,174.75
214.4,173.50
215.9,175.00
217.3,174.75
218.8,175.25
220.2,175.50
221.7,176.00
223.1,176.00
224.6,176.25
226.0,176.25
227.4,177.00
228.9,177.00
230.3,177.00
231.8,177.75
233.2,177.25
234.7,177.75
236.1,177.50
237.6,178.25
239.0,178.25
240.5,178.00
241.9,177.75
243.4,177.50
244.8,179.00
246.3,179.50
247.7,179.50
249.2,179.25
250.6,179.75
252.1,179.75
253.5,179.25
254.9,180.75
256.4,180.75
257.8,181.25
259.3,181.50
260.7,181.50
262.2,181.50
263.6,182.00
265.1,182.50
266.5,182.25
