Time(s),Temp(C)
0.0,183.00
1.8,183.00
3.7,182.25
5.5,182.00
7.3,182.00
9.1,180.50
11.0,181.00
12.8,181.00
14.6,180.00
16.5,180.00
18.3,179.75
20.1,179.50
21.9,178.50
23.8,178.25
25.6,178.50
27.4,178.25
29.2,176.75
31.1,177.25
32.9,177.00
34.7,177.00
36.5,176.75
38.4,176.50
40.2,175.75
42.0,175.25
43.9,174.50
45.7,175.25
47.5,175.25
49.3,174.00
51.2,174.50
53.0,174.25
54.8,174.25
56.6,173.50
58.5,174.00
60.3,171.50
62.1,173.25
64.0,173.25
65.8,172.75
67.6,172.25
69.4,172.00
71.3,172.50
73.1,172.00
74.9,172.00
76.7,172.25
78.6,171.75
80.4,171.50
82.2,171.75
84.1,171.25
85.9,171.75
87.7,171.50
89.5,171.50
91.4,168.50
93.2,171.25
95.0,171.50
96.8,170.75
98.7,171.00
100.5,171.25
102.3,171.50
104.2,170.75
106.0,171.50
107.8,170.75
109.6,171.00
111.5,171.25
113.3,170.75
115.1,171.25
116.9,171.25
118.8,170.75
120.6,171.50
122.4,167.25
124.2,171.50
126.1,171.25
127.9,171.00
129.7,171.50
131.6,172.00
133.4,171.00
135.2,172.00
137.0,172.25
138.9,172.00
140.7,172.00
142.5,171.75
144.3,172.50
146.2,171.75
148.0,172.50
149.8,172.50
151.7,172.50
153.5,173.00
155.3,173.50
157.1,173.00
159.0,173.25
160.8,173.00
162.6,173.75
164.4,173.75
166.3,173.75
168.1,174.25
170.0,174.00
171.8,174.50
173.6,174.25
175.5,174.50
177.3,174.25
179.1,174.75
181.0,174.75
182.8,174.75
184.7,172.25
186.5,175.00
188.3,175.50
190.2,176.00
192.0,174.25
193.8,175.75
195.7,176.00
197.5,176.25
199.3,176.75
201.2,176.25
203.0,176.25
204.9,176.75
206.7,176.75
208.5,175.00
210.4,177.75
212.2,177.25
214.0,177.50
215.9,175.00
217.7,178.25
219.6,178.00
221.4,178.00
223.2,178.50
225.1,178.75
226.9,178.75
228.7,179.00
230.6,179.00
232.4,178.25
234.3,178.50
236.1,179.75
237.9,179.50
239.8,179.50
241.6,180.25
243.4,180.25
245.3,179.50
247.1,180.25
249.0,180.25
250.8,180.25
252.6,179.75
254.5,181.25
256.3,181.00
258.1,180.50
260.0,180.75
261.8,181.00
263.6,181.50
265.5,181.25
267.3,181.75
269.2,182.00
271.0,182.50
272.8,179.50
274.7,182.50
276.5,182.50
278.3,183.00
280.2,182.50
282.0,183.00
283.9,182.75
285.7,183.00
287.5,183.00
289.4,183.25
291.2,183.50
293.0,183.50
294.9,184.00
296.7,183.25
298.6,184.00
