Time(s),Temp(C)
0.0,161.00
2.4,160.00
4.7,160.25
7.1,159.75
9.5,159.25
11.8,158.25
14.2,156.25
16.5,158.00
18.9,157.00
21.3,157.00
23.6,155.75
26.0,156.50
28.3,155.75
30.7,155.75
33.1,155.50
35.4,155.00
37.8,154.50
40.1,154.50
42.5,153.75
44.9,154.00
47.2,153.50
49.6,153.25
52.0,153.00
54.3,153.00
56.7,152.00
59.0,152.50
61.4,151.75
63.8,151.50
66.1,151.00
68.5,151.00
70.8,151.00
73.2,151.00
75.6,150.25
77.9,150.75
80.3,150.75
82.6,150.75
85.0,150.75
87.4,150.25
89.7,150.50
92.1,150.00
94.5,150.00
96.8,149.00
99.2,149.00
101.5,149.75
103.9,149.75
106.3,148.75
108.6,149.00
111.0,149.75
113.3,149.25
115.7,149.50
118.1,149.75
120.4,149.50
122.8,149.25
125.2,149.75
127.5,150.00
129.9,149.50
132.2,149.00
134.6,150.00
137.0,149.75
139.3,150.25
141.7,150.50
144.2,150.50
146.8,150.00
149.4,150.50
152.0,150.50
154.6,150.50
157.2,150.75
159.8,150.50
162.5,150.50
165.1,150.75
167.7,151.25
170.3,151.00
172.9,151.00
175.4,150.50
178.0,151.75
180.6,152.00
183.2,152.00
185.7,152.25
188.3,152.25
190.9,152.50
193.5,151.75
196.1,152.25
198.7,152.75
201.3,153.00
203.6,153.00
206.0,153.50
208.4,152.75
210.7,153.50
213.1,153.50
215.5,153.50
217.9,154.25
220.2,154.00
222.6,154.25
225.0,154.25
227.3,153.75
229.7,153.75
232.1,154.25
234.5,154.50
236.8,152.25
239.2,155.25
241.6,155.75
243.9,155.75
246.3,156.00
248.7,156.00
251.1,156.25
253.4,156.25
255.8,156.00
258.2,156.25
260.5,156.50
262.9,156.25
265.3,157.00
267.7,156.50
270.0,156.75
272.4,157.25
274.8,157.00
277.1,157.50
279.5,157.00
281.9,157.25
284.3,158.00
286.6,158.25
289.0,156.25
291.4,158.50
293.7,154.75
296.1,158.50
298.5,158.50
