Time(s),Temperature(C)
996.41,142.75
998.92,142.50
1001.42,141.75
1003.92,142.50
1006.43,143.25
1008.93,143.00
1011.43,143.50
1013.94,143.50
1016.44,143.75
1018.95,144.25
1021.45,144.25
1023.95,144.00
1026.46,144.00
1028.96,145.00
1031.46,144.75
1033.97,145.00
1036.47,145.00
1038.97,145.50
1041.48,145.25
1043.98,145.25
1046.48,145.50
1048.99,145.75
1051.50,145.75
1054.00,146.25
1056.50,146.50
1059.01,146.25
1061.51,146.00
1064.01,146.50
1066.52,144.25
1069.02,147.25
1071.52,147.25
1074.03,147.25
1076.53,147.25
1079.03,147.75
1081.54,147.75
1084.04,148.25
1086.54,148.50
1089.05,147.75
1091.55,148.50
1094.06,148.50
1096.56,148.75
1099.06,148.75
1101.57,149.00
1104.07,149.25
1106.57,149.50
1109.08,149.00
1111.58,150.00
1114.08,149.50
1116.59,149.00
1119.09,149.75
1121.59,149.50
1124.10,150.25
1126.60,150.75
1129.11,151.00
1131.61,150.50
1134.12,150.50
1136.62,150.75
1139.12,151.00
1141.63,151.50
1144.13,146.75
1146.63,151.50
1149.14,151.25
1151.64,150.75
1154.15,151.75
1156.65,152.25
1159.15,152.50
1161.66,152.50
1164.16,152.00
1166.66,151.75
1169.17,151.00
1171.67,152.25
1174.17,153.25
1176.68,153.00
1179.18,153.00
1181.68,152.75
1184.19,153.00
1186.69,153.25
1189.19,153.25
1191.70,153.50
1194.20,153.75
1196.70,154.00
1199.21,154.00
1201.71,150.50
1204.22,154.00
1206.72,154.00
1209.22,154.00
1211.73,152.75
1214.23,154.50
1216.74,151.25
1219.24,154.75
1221.74,155.25
1224.25,155.00
1226.75,154.75
1229.26,153.75
1231.76,153.75
1234.26,156.00
1236.77,155.50
1239.27,155.75
1241.77,155.75
1244.28,155.75
1246.78,154.00
1249.28,155.50
1251.79,156.25
1254.29,156.00
1256.79,156.75
1259.30,157.00
1261.80,156.75
1264.31,156.75
1266.81,156.25
1269.31,157.25
1271.82,157.25
1274.32,157.75
1276.82,157.50
1279.33,157.75
1281.83,155.50
1284.33,157.50
1286.84,158.00
1289.34,155.50
1291.85,157.75
1294.35,157.50
1296.85,154.25
1299.36,158.00
1301.86,158.50
1304.37,158.25
1306.87,158.75
1309.37,158.00
1311.88,158.50
1314.38,159.00
1316.88,159.00
1319.39,159.25
1321.89,159.25
1324.40,159.25
1326.90,159.75
1329.40,159.75
1331.91,159.50
1334.41,159.25
1336.91,159.50
1339.42,160.00
1341.92,160.50
1344.42,160.50
1346.93,160.50
1349.43,159.75
1351.93,160.25
1354.44,160.50
1356.94,156.50
1359.44,161.00
1361.95,160.25
1364.45,160.75
1366.95,159.25
1369.46,161.25
1371.97,161.25
1374.47,161.75
1376.97,161.25
1379.48,162.00
1381.98,160.75
1384.48,161.75
1386.99,162.00
1389.49,162.25
1391.99,162.00
1394.50,162.00
1397.00,162.00
1399.51,162.00
1402.01,162.50
1404.51,163.00
1407.02,162.75
1409.52,162.25
1412.02,163.25
1414.53,162.75
1417.03,161.75
1419.53,163.00
1422.04,163.00
1424.54,163.25
1427.05,162.75
1429.55,163.50
1432.05,163.00
1434.56,163.50
1437.06,163.75
1439.56,160.50
1442.07,163.25
1444.57,164.00
1447.07,163.50
1449.58,163.25
1452.08,163.75
1454.59,164.50
1457.09,164.25
1459.59,163.75
1462.10,164.50
1464.60,164.25
1467.11,164.50
1469.61,164.00
1472.11,164.75
1474.62,164.50
1477.12,164.25
1479.62,164.75
1482.13,164.50
1484.63,165.25
1487.13,165.00
1489.64,164.75
1492.14,165.00
1494.65,165.50
1497.15,165.00
1499.65,165.50
1502.16,165.00
1504.66,165.00
1507.16,165.75
1509.67,165.75
1512.17,162.00
1514.67,166.00
1517.18,165.75
1519.68,165.50
1522.18,166.00
1524.69,166.25
1527.19,165.75
1529.69,165.75
1532.20,166.25
1534.70,166.50
1537.21,166.00
1539.71,166.75
1542.22,166.75
1544.72,165.75
1547.22,166.00
1549.73,166.50
1552.23,166.00
1554.73,166.75
1557.24,166.50
1559.74,165.00
1562.24,167.00
1564.75,167.75
1567.25,167.25
1569.76,167.00
1572.26,167.25
1574.76,167.00
1577.27,167.50
1579.77,167.75
1582.27,167.75
1584.78,163.75
1587.28,168.25
1589.78,167.75
1592.29,168.25
1594.79,168.25
1597.30,166.75
1599.80,167.75
1602.30,167.75
1604.81,168.75
1607.31,168.00
1609.81,168.25
1612.32,165.50
1614.82,168.75
1617.33,169.00
1619.83,168.75
1622.33,167.75
1624.84,168.75
1627.34,168.50
1629.84,168.50
1632.35,168.50
1634.85,168.00
1637.35,168.75
1639.86,169.00
1642.36,168.75
1644.87,169.50
1647.37,169.00
1649.87,169.00
1652.38,169.25
1654.88,169.00
1657.38,168.50
1659.89,169.00
1662.39,165.75
1664.89,169.75
1667.40,168.75
1669.90,169.75
1672.41,169.25
1674.91,169.25
1677.41,169.50
1679.92,170.00
1682.42,169.25
1684.92,168.25
1687.43,170.00
1689.93,169.50
1692.44,170.00
1694.94,169.75
1697.44,169.50
1699.95,169.75
1702.45,170.00
1704.95,170.50
1707.46,169.75
1709.96,170.00
1712.47,170.50
1714.97,170.25
1717.47,169.75
1719.98,170.25
1722.48,170.75
1724.98,170.75
1727.49,170.50
1729.99,170.75
1732.50,171.00
1735.00,166.25
1737.50,170.75
1740.01,169.00
1742.51,171.00
1745.01,171.25
1747.52,171.00
1750.02,170.75
1752.52,171.00
1755.03,171.25
1757.53,170.75
1760.03,170.50
1762.54,171.25
1765.04,169.75
1767.55,171.00
1770.05,171.00
1772.56,169.75
1775.06,171.25
1777.56,171.00
1780.07,171.00
1782.57,170.00
1785.07,171.75
1787.58,171.00
1790.08,171.25
1792.58,171.00
1795.09,171.75
1797.59,171.75
