Time(s),Temperature(C)
0.00,177.00
2.00,177.00
4.01,177.00
6.01,176.75
8.01,176.50
10.02,176.75
12.02,176.25
14.02,176.75
16.03,176.75
18.03,176.25
20.03,176.25
22.04,176.25
24.04,176.75
26.04,176.75
28.05,177.25
30.05,176.75
32.06,176.75
34.06,177.00
36.06,176.50
38.06,176.25
40.07,175.00
42.07,176.75
44.07,177.25
46.08,177.00
48.08,177.00
50.09,177.25
52.09,176.25
54.09,176.75
56.10,177.25
58.10,176.25
60.10,177.25
62.11,175.50
64.11,177.25
66.11,173.75
68.12,176.75
70.12,177.75
72.13,175.50
74.13,177.50
76.13,175.25
78.14,177.25
80.14,178.00
82.14,177.75
84.15,178.00
86.15,177.00
88.15,177.75
90.16,178.25
92.16,178.00
94.16,178.50
96.17,177.50
98.17,178.25
100.17,178.00
102.18,178.00
104.18,178.75
106.18,178.25
108.19,178.50
110.19,178.50
112.19,178.25
114.20,177.25
116.20,178.75
118.20,178.75
120.21,177.75
122.21,178.25
124.22,178.50
126.22,178.75
128.22,175.25
130.23,179.75
132.23,179.25
134.23,179.25
136.24,179.50
138.24,179.25
140.24,179.50
142.25,180.00
144.25,179.75
146.26,179.50
148.26,179.25
150.26,180.25
152.27,179.50
154.27,179.25
156.27,180.25
158.28,181.00
160.28,180.25
162.29,180.75
164.29,181.25
166.29,180.75
168.30,180.50
170.30,180.50
172.30,179.50
174.31,181.00
176.31,180.75
178.31,180.75
180.32,181.00
182.32,181.50
184.32,181.25
186.33,181.50
188.33,181.75
190.33,181.00
192.34,182.00
194.34,181.75
196.34,182.25
198.35,182.50
200.35,182.25
202.35,181.75
204.36,182.00
206.36,182.25
208.37,182.50
210.37,182.50
212.38,182.25
214.38,182.25
216.38,180.00
218.39,182.75
220.39,182.25
222.39,183.25
224.40,183.75
226.40,183.50
228.40,183.50
230.41,183.25
232.41,183.75
234.41,183.50
236.42,184.25
238.42,184.00
240.42,184.00
242.43,184.00
244.43,184.25
246.44,183.50
248.44,184.50
250.44,184.75
252.45,184.25
254.45,182.50
256.45,184.50
258.46,184.50
260.46,184.50
262.46,185.00
264.47,184.50
266.47,185.25
268.47,185.00
270.48,184.50
272.48,185.75
274.48,182.50
276.49,185.25
278.49,182.00
280.50,185.75
282.50,185.75
284.51,186.00
286.51,186.00
288.51,185.50
290.52,186.25
292.52,186.00
294.52,186.00
296.52,186.50
298.53,186.75
300.53,186.25
302.54,186.50
304.54,185.25
306.54,186.75
308.55,186.75
310.55,187.00
312.55,187.25
314.56,187.00
316.56,186.75
318.56,187.50
320.57,187.50
322.57,186.75
324.58,187.50
326.58,187.50
328.58,187.75
330.58,187.75
332.59,187.75
334.59,184.00
336.60,187.75
338.60,188.25
340.60,187.75
342.61,188.00
344.61,187.50
346.62,188.00
348.62,188.25
350.62,188.50
352.63,188.50
354.63,188.25
356.63,188.50
358.64,188.25
360.64,187.75
362.64,188.75
364.65,189.00
366.65,184.50
368.66,188.75
370.66,189.00
372.66,188.25
374.67,188.00
376.67,189.00
378.67,189.75
380.68,188.75
382.68,189.25
384.68,189.50
386.69,189.50
388.69,189.25
390.69,189.25
392.70,186.75
394.70,187.00
396.70,189.00
398.71,189.50
400.71,190.00
402.71,189.50
404.72,189.25
406.72,189.75
408.72,190.25
410.73,190.25
412.73,190.00
414.74,190.00
416.74,190.25
418.75,189.75
420.75,190.00
422.75,190.50
424.76,190.50
426.76,190.50
428.76,191.00
430.77,190.75
432.77,191.00
434.77,190.75
436.78,190.00
438.78,190.25
440.78,190.75
442.79,190.75
444.79,191.00
446.79,191.25
448.80,190.75
450.80,190.75
452.80,191.00
454.81,189.25
456.81,190.75
458.82,191.50
460.82,191.25
462.82,190.75
464.83,190.75
466.83,191.50
468.83,191.00
470.84,191.50
472.84,191.50
474.84,191.25
476.85,191.75
478.85,191.50
480.85,188.50
482.86,191.00
484.86,191.75
486.87,190.75
488.87,190.25
490.87,191.50
492.88,192.00
494.88,192.25
496.88,192.25
498.89,191.75
500.89,192.50
502.89,192.50
504.90,192.00
506.90,192.00
508.91,192.25
510.91,191.75
512.91,192.50
514.92,191.75
516.92,192.00
518.92,192.00
520.93,192.25
522.93,192.00
524.93,192.25
526.94,192.50
528.94,192.50
530.94,192.50
532.95,191.50
534.95,192.25
536.95,192.75
538.96,192.75
540.96,192.50
542.96,188.00
544.97,192.75
546.97,192.25
548.97,192.25
550.98,193.25
552.98,192.75
554.99,193.00
556.99,193.00
559.00,193.50
561.00,193.25
563.00,193.50
565.01,193.25
567.01,193.25
569.01,193.25
571.02,192.75
573.02,193.50
575.02,193.25
577.03,193.25
579.03,193.75
581.03,193.00
583.04,193.75
585.04,193.75
587.04,193.50
589.05,193.75
591.05,193.50
593.05,193.50
595.06,194.00
597.06,194.25
599.07,193.75
601.07,194.50
603.07,194.00
605.08,193.25
607.08,194.25
609.08,194.50
611.09,194.25
613.09,194.25
615.09,194.25
617.10,194.25
619.10,194.50
621.11,194.50
623.11,194.25
625.11,193.75
627.12,194.75
629.12,194.50
631.12,191.75
633.13,194.50
635.13,195.00
637.14,194.50
639.14,195.00
641.14,195.25
643.15,194.25
645.15,195.25
647.15,194.50
649.16,195.00
651.16,194.25
653.16,195.25
655.17,195.50
657.17,194.50
659.17,195.50
661.18,195.25
663.18,195.75
665.19,195.50
667.19,194.75
669.19,195.25
671.20,194.75
673.20,196.00
675.20,195.75
677.21,195.25
679.21,196.00
681.21,196.00
683.22,195.50
685.22,195.00
687.22,195.25
689.23,196.00
691.23,195.25
693.24,191.25
695.24,195.75
697.24,196.00
699.25,196.25
701.25,195.50
703.25,195.50
705.26,195.75
707.26,196.00
709.27,196.50
711.27,196.50
713.27,196.25
715.28,196.00
717.28,196.50
719.28,195.50
721.29,194.50
723.29,196.00
725.29,196.50
727.29,196.25
729.30,196.50
731.30,196.75
733.31,196.75
735.31,195.75
737.31,196.50
739.32,196.25
741.32,196.25
743.32,196.75
745.33,195.50
747.33,196.75
749.34,196.50
751.34,196.75
753.34,197.25
755.34,194.00
757.35,196.50
759.35,195.75
761.36,196.25
763.36,197.00
765.37,195.75
767.37,197.00
769.37,196.50
771.38,197.00
773.38,196.25
775.38,196.00
777.39,196.25
779.39,196.00
781.39,193.75
783.40,196.50
785.40,197.25
787.40,197.25
789.41,197.00
791.41,197.25
793.41,197.00
795.42,197.25
797.42,196.75
799.42,197.00
801.43,197.50
803.43,196.75
805.44,197.25
807.44,197.25
809.44,197.00
811.45,197.25
813.45,197.00
815.45,197.00
817.46,197.00
819.46,197.25
821.46,197.50
823.47,196.75
825.47,197.25
827.48,197.50
829.48,196.00
831.48,197.50
833.49,197.50
835.49,197.75
837.50,197.75
839.50,197.75
841.50,197.75
843.51,195.00
845.51,198.00
847.51,197.75
849.52,198.00
851.52,198.00
853.52,197.00
855.53,197.50
857.53,198.00
859.53,197.75
861.54,197.75
863.54,197.75
865.54,197.75
867.55,198.25
869.55,195.00
871.55,198.00
873.56,198.25
875.56,198.25
877.57,197.50
879.57,198.00
881.57,198.50
883.58,198.25
885.58,198.25
887.58,198.50
889.59,198.00
891.59,197.00
893.60,198.00
895.60,198.75
897.60,198.50
899.61,198.00
901.61,198.50
903.61,198.00
905.62,198.50
907.62,198.00
909.62,198.75
911.63,198.25
913.63,198.50
915.64,198.50
917.64,198.75
919.64,198.75
921.65,198.75
923.65,198.50
925.65,198.25
927.66,198.50
929.66,197.75
931.66,193.75
933.67,198.75
935.67,198.00
937.67,199.00
939.68,199.25
941.68,198.50
943.68,199.00
945.69,198.25
947.69,198.50
949.69,198.75
951.70,199.00
953.70,198.50
955.71,198.75
957.71,196.50
959.71,198.75
961.72,199.25
963.72,199.00
965.73,199.25
967.73,198.25
969.73,199.25
971.74,199.25
973.74,199.25
975.74,199.00
977.75,199.25
979.75,199.50
981.75,199.00
983.76,200.00
985.76,199.25
987.76,199.25
989.77,199.75
991.77,199.50
993.78,199.50
995.78,198.75
997.78,199.50
999.78,199.75
1001.79,199.50
1003.79,199.75
1005.80,199.25
1007.80,199.75
1009.80,198.75
1011.81,199.75
1013.81,199.50
1015.81,199.75
1017.82,199.75
1019.82,195.25
1021.82,199.75
1023.83,199.50
1025.83,199.75
1027.83,200.25
1029.84,200.00
1031.84,199.00
1033.85,199.75
1035.85,199.50
1037.86,200.25
1039.86,199.75
1041.86,200.00
1043.87,200.00
1045.87,199.25
1047.87,200.25
1049.88,200.25
1051.88,199.75
1053.89,199.75
1055.89,199.75
1057.89,200.25
1059.90,200.25
1061.90,199.25
1063.90,200.25
1065.91,199.75
1067.91,200.50
1069.91,200.25
1071.92,200.75
1073.92,200.50
1075.92,199.50
1077.93,200.25
1079.93,199.75
1081.94,198.25
1083.94,200.75
1085.94,200.25
1087.95,200.50
1089.95,200.50
1091.95,199.75
1093.96,200.75
1095.96,199.75
1097.97,200.50
1099.97,199.50
1101.97,200.50
1103.98,200.50
1105.98,200.50
1107.98,197.00
1109.99,200.75
1111.99,200.00
1114.00,200.50
1116.00,200.25
1118.00,200.75
1120.01,200.75
1122.01,200.75
1124.01,200.75
1126.02,200.50
1128.02,200.50
1130.02,201.00
1132.03,201.00
1134.03,200.00
1136.04,200.25
1138.04,200.00
1140.04,200.75
1142.05,200.50
1144.05,200.25
1146.05,200.75
1148.06,201.00
1150.06,200.50
1152.06,201.00
1154.07,201.00
1156.07,201.25
1158.08,200.50
1160.08,200.75
1162.08,200.25
1164.09,201.00
1166.09,201.00
1168.10,201.25
1170.10,197.25
1172.10,200.75
1174.11,200.75
1176.11,201.00
1178.11,201.00
1180.12,201.25
1182.12,201.50
1184.12,200.75
1186.13,201.50
1188.13,201.50
1190.14,201.50
1192.14,201.50
1194.14,201.50
1196.15,201.00
1198.15,201.50
1200.15,201.50
1202.16,201.25
1204.16,201.50
1206.16,201.50
1208.17,202.00
1210.17,201.25
1212.18,201.25
1214.18,201.00
1216.18,201.75
1218.19,201.25
1220.19,201.75
1222.20,201.75
1224.20,201.75
1226.20,201.50
1228.21,201.75
1230.21,201.75
1232.21,196.75
1234.22,201.75
1236.22,202.00
1238.22,201.25
1240.23,201.50
1242.23,201.75
1244.23,201.00
1246.24,201.00
1248.24,201.75
1250.25,200.75
1252.25,201.25
1254.25,201.75
1256.26,201.75
1258.26,200.75
1260.26,202.00
1262.27,202.00
1264.27,201.75
1266.28,201.25
1268.28,202.00
1270.28,202.00
1272.29,201.25
1274.29,202.00
1276.29,201.50
1278.30,201.75
1280.30,201.50
1282.30,202.00
1284.31,202.00
1286.31,200.00
1288.32,201.75
1290.32,201.25
1292.32,202.25
1294.33,201.75
1296.33,201.25
1298.33,201.50
1300.34,202.00
1302.34,200.50
1304.35,202.00
1306.35,201.50
1308.35,202.00
1310.36,201.25
1312.36,202.00
1314.36,201.25
1316.37,201.75
1318.37,202.00
1320.38,198.50
1322.38,202.00
1324.38,201.50
1326.39,202.00
1328.39,201.75
1330.39,202.00
1332.40,201.25
1334.40,201.75
1336.40,202.00
1338.41,201.75
1340.41,201.75
1342.41,201.75
1344.42,201.25
1346.42,201.75
1348.42,201.75
1350.43,201.75
1352.44,201.75
1354.44,201.50
1356.44,202.00
1358.44,202.00
1360.45,201.75
1362.45,201.25
1364.46,202.25
1366.46,201.50
1368.46,202.25
1370.47,202.25
1372.47,201.75
1374.47,202.00
1376.48,201.75
1378.48,201.25
1380.48,201.50
1382.49,199.75
1384.49,201.75
1386.50,201.50
1388.50,202.00
1390.50,201.75
1392.51,202.25
1394.51,201.75
1396.51,202.00
1398.52,201.50
1400.52,201.50
1402.52,202.00
1404.53,201.25
1406.53,202.00
1408.54,199.00
1410.54,201.75
1412.54,201.75
1414.55,202.25
1416.55,201.75
1418.56,201.75
1420.56,202.00
1422.56,201.50
1424.57,200.25
1426.57,201.00
1428.57,200.50
1430.58,202.00
1432.58,202.25
1434.58,202.25
1436.59,201.75
1438.59,200.00
1440.59,202.00
1442.60,201.50
1444.60,201.50
1446.61,201.50
1448.61,202.00
1450.61,202.00
1452.62,202.25
1454.62,201.75
1456.62,201.50
1458.63,202.25
1460.63,202.00
1462.64,202.00
1464.64,201.50
1466.64,201.75
1468.65,201.75
1470.65,197.50
1472.67,202.00
1474.68,202.25
1476.68,202.00
1478.69,202.00
1480.69,201.50
1482.69,202.00
1484.70,202.00
1486.70,202.50
1488.70,202.25
1490.71,201.75
1492.71,202.00
1494.71,201.75
1496.72,202.25
1498.72,202.00
1500.72,202.00
1502.73,202.25
1504.73,202.00
1506.73,201.50
1508.74,201.75
1510.74,202.00
1512.74,202.25
1514.75,202.00
1516.75,201.50
1518.75,201.75
1520.76,201.75
1522.76,201.75
1524.76,202.25
1526.77,202.00
1528.77,201.75
1530.77,202.25
1532.78,200.50
1534.78,202.25
1536.78,201.75
1538.79,202.00
1540.79,202.00
1542.80,202.25
1544.80,202.00
1546.80,202.25
1548.81,201.25
1550.81,201.50
1552.81,201.75
1554.81,201.00
1556.82,202.00
1558.82,198.50
1560.82,201.50
1562.83,202.00
1564.83,201.75
1566.83,201.75
1568.84,202.00
1570.84,201.75
1572.84,201.75
1574.85,201.75
1576.85,202.25
1578.86,201.25
1580.86,202.00
1582.86,202.00
1584.87,201.75
1586.87,202.50
1588.87,202.00
1590.88,202.25
1592.88,202.25
1594.88,202.00
1596.89,202.25
1598.89,202.25
1600.89,202.50
1602.90,202.50
1604.90,202.25
1606.91,202.25
1608.91,202.00
1610.91,202.50
1612.92,202.25
1614.92,202.25
1616.92,202.50
1618.93,203.00
1620.93,201.75
1622.93,202.25
1624.94,202.50
1626.94,202.50
1628.94,202.25
1630.94,201.75
1632.95,202.50
1634.95,202.25
1636.96,202.50
1638.96,203.00
1640.96,203.00
1642.96,202.50
1644.97,203.00
1646.97,199.25
1648.97,203.00
1650.98,203.25
