Time(s),Temperature(C)
1292.06,135.50
1295.39,135.75
1298.73,136.00
1302.06,136.00
1305.40,136.00
1308.74,135.25
1312.07,136.25
1315.41,136.00
1318.75,135.75
1322.08,135.50
1325.42,136.25
1328.76,136.25
1332.09,136.00
1335.43,136.25
1338.77,136.25
1342.10,136.75
1345.44,136.25
1348.78,136.75
1352.11,136.75
1355.45,137.00
1358.79,136.50
1362.12,137.00
1365.46,136.50
1368.80,136.25
1372.14,136.25
1375.47,137.25
1378.81,137.00
1382.15,137.25
1385.48,137.00
1388.82,137.25
1392.16,137.25
1395.49,137.25
1398.83,137.00
1402.17,136.75
1405.50,137.25
1408.84,137.50
1412.18,137.25
1415.51,134.25
1418.85,137.75
1422.19,137.50
1425.52,137.75
1428.86,138.00
1432.19,137.75
1435.53,138.00
1438.87,137.50
1442.20,138.25
1445.54,138.25
1448.88,138.50
1452.21,137.25
1455.55,138.50
1458.89,138.00
1462.22,133.75
1465.56,138.25
1468.90,138.50
1472.23,138.50
1475.57,138.75
1478.91,138.50
1482.25,138.75
1485.58,138.75
1488.92,138.50
1492.26,139.25
1495.59,138.00
1498.93,138.00
1502.27,138.25
1505.60,138.25
1508.94,138.50
1512.28,138.75
1515.61,138.75
1518.95,139.00
1522.29,138.50
1525.62,139.25
1528.96,139.00
1532.30,139.25
1535.63,138.75
1538.97,138.75
1542.31,139.50
1545.64,138.75
1548.98,139.25
1552.31,139.25
1555.65,139.00
1558.99,139.75
1562.32,139.25
1565.66,139.00
1569.00,139.25
1572.33,139.00
1575.67,139.50
1579.01,139.25
1582.34,139.75
1585.68,139.25
1589.02,139.75
1592.36,140.00
1595.69,139.00
1599.03,140.00
1602.37,139.50
1605.70,138.75
1609.04,140.00
1612.38,138.50
1615.71,139.00
1619.05,139.75
1622.39,140.00
1625.72,139.25
1629.06,139.75
1632.40,139.25
1635.73,140.00
1639.07,139.75
1642.41,140.00
1645.74,140.00
1649.08,140.00
1652.42,140.00
1655.75,139.75
1659.09,135.50
1662.43,140.50
1665.76,140.50
1669.10,140.00
1672.44,140.50
1675.77,140.25
1679.11,141.00
1682.44,140.75
1685.78,141.00
1689.12,140.50
1692.46,140.25
1695.79,140.75
1699.13,140.50
1702.47,140.75
1705.80,137.75
1709.14,140.75
1712.48,141.25
1715.81,141.00
1719.15,141.25
1722.49,141.25
1725.82,140.50
1729.16,141.00
1732.50,141.25
1735.83,139.25
1739.17,140.75
1742.51,141.50
1745.84,141.50
1749.18,140.50
1752.52,140.50
1755.85,141.00
1759.19,140.50
1762.53,141.00
1765.86,141.50
1769.20,141.50
1772.54,141.00
1775.87,141.25
1779.21,141.00
1782.54,141.00
1785.88,141.50
1789.22,140.75
1792.56,142.00
1795.89,142.00
1799.23,141.00
1802.57,141.75
1805.90,142.00
1809.24,141.75
1812.58,141.50
1815.91,140.50
1819.25,141.25
1822.59,142.25
1825.92,142.00
1829.26,141.75
1832.60,141.50
1835.93,142.00
1839.27,141.75
1842.61,142.00
1845.94,142.25
1849.28,142.00
1852.62,142.25
1855.95,142.25
1859.29,141.75
1862.63,142.25
1865.96,142.25
1869.30,142.00
1872.64,141.75
1875.97,142.00
1879.31,142.25
1882.65,142.25
1885.98,142.25
1889.32,141.75
1892.66,142.25
1895.99,142.50
1899.33,142.00
1902.67,142.00
1906.01,141.25
1909.34,142.00
1912.68,142.25
1916.02,142.50
1919.35,142.00
1922.69,142.25
1926.02,141.00
1929.36,142.75
1932.70,143.00
1936.03,142.75
1939.37,142.75
1942.71,142.50
1946.04,142.25
1949.38,139.00
1952.72,142.50
1956.05,143.00
1959.39,142.75
1962.73,142.00
1966.06,142.50
1969.40,142.00
1972.74,143.00
1976.07,143.00
1979.41,142.75
1982.75,141.25
1986.08,143.00
1989.42,142.75
1992.76,143.25
1996.09,139.25
1999.43,142.00
2002.77,143.25
2006.10,143.75
2009.44,143.25
2012.78,142.75
2016.11,143.00
2019.45,143.00
2022.79,143.25
2026.12,143.50
2029.46,142.75
2032.80,143.25
2036.14,143.00
2039.47,143.50
2042.81,142.00
2046.15,143.25
2049.48,143.50
2052.82,143.00
2056.15,143.00
2059.49,143.00
2062.83,142.75
2066.16,143.25
2069.50,142.75
2072.84,142.75
2076.17,143.25
2079.51,142.00
2082.85,143.25
2086.18,143.75
2089.52,142.75
2092.86,143.50
2096.19,144.00
2099.53,142.75
2102.87,142.75
2106.20,142.25
2109.54,141.50
2112.88,141.75
2116.21,144.00
2119.55,143.00
2122.89,144.00
2126.22,144.00
2129.56,143.75
2132.90,143.75
2136.23,144.00
2139.57,144.00
2142.91,144.00
2146.25,142.25
2149.58,143.50
2152.92,143.25
2156.25,144.00
2159.59,143.50
2162.93,144.00
2166.26,143.25
2169.60,144.25
2172.94,143.75
2176.27,144.00
2179.61,143.00
2182.95,144.25
2186.28,143.50
2189.62,143.25
2192.96,142.00
2196.29,143.75
2199.63,143.25
2202.97,143.75
2206.30,143.75
2209.64,144.25
2212.98,144.25
2216.31,144.50
2219.65,144.00
2222.99,143.50
2226.33,143.75
2229.66,142.75
2233.00,143.50
2236.34,144.00
2239.67,141.00
2243.03,144.25
2246.36,144.50
2249.70,144.25
2253.04,144.75
2256.37,143.50
2259.71,144.25
2263.05,144.50
2266.38,144.25
2269.72,144.00
2273.06,144.00
2276.39,144.75
2279.73,144.00
2283.06,144.50
2286.40,140.50
2289.74,144.50
2293.07,144.00
2296.41,144.25
2299.75,144.00
2303.08,144.50
2306.42,145.25
2309.75,144.75
2313.09,144.50
2316.43,145.00
2319.76,144.75
2323.10,144.50
2326.44,144.75
2329.77,145.00
2333.11,142.00
2336.45,144.50
2339.79,144.50
2343.12,145.00
2346.46,145.00
2349.79,144.75
2353.13,144.50
2356.47,145.00
2359.80,144.75
2363.14,145.25
2366.48,144.75
2369.81,144.50
2373.15,144.75
2376.48,145.25
2379.82,144.00
2383.16,144.50
2386.49,145.00
2389.83,145.25
2393.17,144.75
